Company,Product,Inches,Memory,Gpu,OpSys,Price_euros,height,width,Clock,Weight_in_kg
Acer,Aspire A315-51,15.6,4,Intel HD Graphics 520,Linux,390.0,768,1366,2.0,2.1
Asus,X555QG-DM242T (A10-9620P/4GB/1TB,15.6,4,AMD Radeon R5 M430,Windows 10,575.0,1080,1920,2.5,2.2
Asus,ROG G703VI-E5062T,17.3,32,Nvidia GeForce GTX 1080,Windows 10,3890.0,1080,1920,2.9,4.7
Acer,Nitro AN515-51,15.6,8,Nvidia GeForce GTX 1050,Windows 10,846.0,1080,1920,2.5,2.5
Lenovo,IdeaPad 320-15ISK,15.6,8,Intel HD Graphics 520,Windows 10,589.0,768,1366,2.0,2.2
Asus,VivoBook Pro,17.3,8,Nvidia GeForce 150MX,Windows 10,1145.0,1080,1920,1.8,2.1
Asus,F756UX-T4201D (i7-7500U/8GB/128GB,17.3,8,Nvidia GeForce GTX 950M,No OS,889.0,1080,1920,2.7,2.69
Dell,Inspiron 5577,15.6,8,Nvidia GeForce GTX 1050,Windows 10,879.0,1080,1920,2.5,2.56
Lenovo,Yoga 910-13IKB,13.9,8,Intel HD Graphics 620,Windows 10,1079.0,1080,1920,2.7,1.38
Dell,Inspiron 5570,15.6,8,AMD Radeon 530,Windows 10,985.0,1080,1920,1.8,2.2
HP,15-bs015dx (i5-7200U/8GB/1TB/W10),15.6,8,Intel HD Graphics 620,Windows 10,559.0,768,1366,2.5,2.04
Asus,Rog G701VIK-BA060T,17.3,16,Nvidia GeForce GTX 1080,Windows 10,2999.0,1080,1920,2.9,3.6
HP,ProBook 430,13.3,4,Intel UHD Graphics 620,Windows 10,675.0,1080,1920,1.6,1.49
Apple,MacBook Pro,13.3,8,Intel Iris Plus Graphics 650,macOS,2040.0,1600,2560,3.1,1.37
Dell,Inspiron 5579,15.6,8,Intel UHD Graphics 620,Windows 10,819.0,1080,1920,1.8,2.08
Asus,ROG G752VSK-GC493T,17.3,16,Nvidia GeForce GTX 980M,Windows 10,1799.0,1080,1920,2.8,4.3
Asus,X505BP-BR019T (A9-9420/4GB/1TB/Radeon,15.6,4,AMD Radeon R5 M420,Windows 10,469.0,768,1366,3.0,1.68
Lenovo,Yoga 920-13IKB,13.9,8,Intel UHD Graphics 620,Windows 10,1849.0,1080,1920,1.8,1.37
Acer,Aspire 5,17.3,4,Nvidia GeForce MX130,Windows 10,702.0,1080,1920,2.7,3.0
Dell,Vostro 5370,13.3,8,Intel UHD Graphics 620,Windows 10,949.0,1080,1920,1.6,1.41
HP,15-BW094nd (A6-9220/8GB/128GB/W10),15.6,8,AMD Radeon R4 Graphics,Windows 10,445.9,768,1366,2.5,1.91
HP,Envy 17-U275cl,17.3,16,Nvidia GeForce MX150,Windows 10,1059.0,1080,1920,1.8,2.9
MSI,GT73EVR 7RE,17.3,16,Nvidia GeForce GTX 1070,Windows 10,2499.0,1080,1920,2.8,4.14
Lenovo,Yoga 720-15IKB,15.6,8,Nvidia GeForce GTX 1050M,Windows 10,1699.0,1080,1920,2.8,2.0
Dell,Inspiron 5770,17.3,8,AMD Radeon 530,Windows 10,1142.0,1080,1920,1.8,2.8
Lenovo,IdeaPad 320-15ISK,15.6,4,Intel HD Graphics 520,No OS,444.0,1080,1920,2.0,2.2
HP,ProBook 450,15.6,4,Intel HD Graphics 620,Windows 10,722.0,1080,1920,1.6,2.1
Dell,Vostro 3568,15.6,4,Intel HD Graphics 620,Windows 10,657.0,1080,1920,2.5,2.18
Dell,Inspiron 3567,15.6,8,AMD Radeon R5 M430,Windows 10,565.0,1080,1920,2.5,2.24
Dell,Inspiron 5579,15.6,8,Intel UHD Graphics 620,Windows 10,799.0,1080,1920,1.6,2.67
Asus,ZenBook Flip,13.3,8,Intel UHD Graphics 620,Windows 10,1499.0,1080,1920,1.8,1.1
Lenovo,IdeaPad 320-15IKBN,15.6,4,Intel HD Graphics 620,No OS,467.0,1080,1920,2.5,2.2
HP,Probook 470,17.3,8,Nvidia GeForce 930MX ,Windows 10,1018.0,1080,1920,1.8,2.5
Lenovo,V330-15IKB (i7-8550U/8GB/256GB/FHD/W10),15.6,8,Intel UHD Graphics 620,Windows 10,880.0,1080,1920,1.8,2.05
Apple,MacBook Pro,13.3,8,Intel Iris Graphics 550,macOS,1958.9,1600,2560,2.9,1.37
Asus,Rog Strix,17.3,16,AMD Radeon RX 580,Windows 10,1549.0,1080,1920,3.0,3.2
Dell,Inspiron 3576,15.6,8,AMD Radeon 520,Linux,735.07,1080,1920,1.8,2.14
Lenovo,ThinkPad X1,14.0,16,Intel HD Graphics 520,Windows 10,2499.0,1440,2560,2.6,1.36
Toshiba,Satellite Pro,15.6,8,Nvidia GeForce 930M,Windows 10,812.0,768,1366,2.5,2.2
Dell,Inspiron 5567,15.6,12,Intel HD Graphics 620,Windows 10,713.07,768,1366,2.7,2.3
Dell,Inspiron 5770,17.3,8,AMD Radeon 530,Linux,1099.0,1080,1920,1.8,2.8
Acer,Aspire A515-51G,15.6,8,Nvidia GeForce MX130,Windows 10,745.0,1080,1920,1.8,2.2
Lenovo,IdeaPad 320-17ISK,17.3,4,Intel HD Graphics 520,Windows 10,489.0,900,1600,2.0,2.8
Lenovo,IdeaPad 320-17IKBR,17.3,8,Nvidia GeForce MX150,No OS,849.0,1080,1920,1.8,2.8
Lenovo,IdeaPad 320-17IKB,17.3,6,Nvidia GeForce 940MX,Windows 10,859.0,900,1600,2.7,2.8
Dell,Inspiron 3567,15.6,4,AMD Radeon R5 M430,Linux,428.0,1080,1920,2.0,2.25
Lenovo,Legion Y520-15IKBN,15.6,8,Nvidia GeForce GTX 1050,Windows 10,829.0,1080,1920,2.5,2.5
Lenovo,Ideapad 320-15IKBN,15.6,6,Intel HD Graphics 620,Windows 10,579.0,1080,1920,2.5,2.2
Acer,Aspire A517-51G,15.6,8,Nvidia GeForce MX150,Windows 10,951.0,1080,1920,1.8,3.0
Acer,SP315-51 (i7-7500U/12GB/1TB/FHD/W10),15.6,12,Intel HD Graphics 620,Windows 10,659.0,1080,1920,2.7,2.15
Lenovo,Thinkpad T570,15.6,8,Intel HD Graphics 630,Windows 10,1097.0,1080,1920,2.7,1.95
Asus,VivoBook S15,15.6,8,Nvidia GeForce 940MX,Windows 10,977.0,1080,1920,2.5,1.7
Lenovo,Legion Y520-15IKBN,15.6,16,Nvidia GeForce GTX 1050 Ti,Windows 10,1179.0,1080,1920,2.8,2.5
Lenovo,IdeaPad 320-15IKB,15.6,8,Nvidia GeForce 940MX,No OS,659.01,1080,1920,2.7,2.2
Acer,Chromebook C910-C2ST,15.6,2,Intel HD Graphics,Chrome OS,199.0,768,1366,1.5,2.19
Asus,FX753VD-GC071T (i7-7700HQ/8GB/1TB/GeForce,17.3,8,Nvidia GeForce GTX 1050,Windows 10,1187.0,1080,1920,2.8,3.0
HP,17-BS037cl (i3-6006U/8GB/1TB/W10),17.3,8,Intel HD Graphics 520,Windows 10,489.0,900,1600,2.0,2.54
Dell,XPS 15,15.6,8,Nvidia GeForce GTX 1050,Windows 10,1829.0,1080,1920,2.8,2.0
Lenovo,V330-15IKB (i5-8250U/8GB/256GB/FHD/W10),15.6,8,Intel UHD Graphics 620,Windows 10,739.0,1080,1920,1.6,2.05
Lenovo,Legion Y720-15IKB,15.6,8,Nvidia GeForce GTX 1060,Windows 10,1299.0,1080,1920,2.8,3.2
Acer,Aspire A715-71G,15.6,8,Nvidia GeForce GTX 1050 Ti,Linux,979.0,1080,1920,2.8,2.5
Dell,Precision 7720,17.3,16,Nvidia Quadro M1200,Windows 10,2884.86,1080,1920,2.9,3.42
Lenovo,IdeaPad 310-15ABR,15.6,6,AMD Radeon R5 430,Windows 10,499.0,1080,1920,2.4,2.4
Asus,ZenBook UX530UQ-PRO,15.6,16,Nvidia GeForce 940MX,Windows 10,1468.0,1080,1920,2.7,1.63
Asus,VivoBook S14,14.0,4,Intel HD Graphics 620,Windows 10,509.0,768,1366,2.4,1.3
Asus,Rog GL702VS-GC095T,17.3,16,Nvidia GeForce GTX 1070,Windows 10,2122.0,1080,1920,2.8,2.9
Lenovo,IdeaPad 320-17IKB,17.3,6,Nvidia GeForce GTX 940M,Windows 10,649.0,900,1600,2.5,2.8
Lenovo,IdeaPad 320-15IKBN,15.6,8,Nvidia GeForce 940MX,No OS,549.0,768,1366,2.5,2.2
Asus,GL553VE-FY082T (i7-7700HQ/8GB/1TB,15.6,8,Nvidia GeForce GTX 1050 Ti,Windows 10,1265.0,1080,1920,2.8,2.5
Lenovo,IdeaPad 320-15IAP,15.6,4,Intel HD Graphics 505,No OS,359.99,768,1366,1.1,2.2
HP,EliteBook x360,13.3,16,Intel HD Graphics 620,Windows 10,1975.0,1080,1920,2.8,1.28
Toshiba,Satellite Pro,15.6,8,Nvidia GeForce 930M,Windows 10,1043.0,1080,1920,2.5,2.2
Lenovo,IdeaPad 320-15IKB,15.6,8,Nvidia GeForce 940MX,Windows 10,819.0,1080,1920,2.5,2.3
HP,250 G6,15.6,4,Intel HD Graphics 520,Windows 10,469.0,1080,1920,2.0,1.86
Lenovo,IdeaPad 720S-13IKB,13.3,8,Intel HD Graphics 620,Windows 10,999.0,1080,1920,2.5,1.1
Dell,XPS 13,13.3,16,Intel UHD Graphics 620,Windows 10,2499.0,2160,3840,1.8,1.21
MSI,GE63VR 7RF,15.6,16,Nvidia GeForce GTX 1070,Windows 10,2099.0,1080,1920,2.8,2.8
Acer,ES1-523-84K7 (A8-7410/8GB/256GB/FHD/W10),15.6,8,AMD Radeon R5,Windows 10,469.0,1080,1920,2.2,2.23
Asus,VivoBook Flip,11.6,2,Intel HD Graphics 500,Windows 10,275.0,768,1366,1.1,1.1
Dell,Inspiron 5570,15.6,8,AMD Radeon 530,Windows 10,844.0,1080,1920,1.6,2.33
HP,Spectre x360,13.3,16,Intel UHD Graphics 620,Windows 10,2449.0,2160,3840,1.8,1.29
Lenovo,ThinkPad 13,13.3,4,Intel HD Graphics 510,Chrome OS,459.9,768,1366,1.6,1.45
HP,ProBook 640,14.0,8,Intel HD Graphics 620,Windows 10,980.0,1080,1920,2.5,1.95
Acer,TravelMate B,11.6,4,Intel HD Graphics 405,Windows 10,485.0,768,1366,1.6,1.4
HP,Elitebook 840,14.0,8,Intel HD Graphics 620,Windows 10,1292.0,1080,1920,2.7,1.48
Lenovo,IdeaPad 320-17IKB,17.3,4,Nvidia GeForce 920MX,Windows 10,589.0,900,1600,2.5,2.79
Asus,ZenBook UX410UA-GV183T,14.0,8,Intel HD Graphics 620,Windows 10,1094.0,1080,1920,2.7,2.0
HP,ProBook 450,15.6,8,Intel UHD Graphics 620,Windows 10,902.0,768,1366,1.8,2.1
Acer,Aspire 5,15.6,8,AMD Radeon RX 540,Windows 10,659.0,768,1366,2.7,2.2
Lenovo,IdeaPad 120S-14IAP,14.0,4,Intel HD Graphics 500,Windows 10,292.0,768,1366,1.1,1.44
Acer,Aspire E5-575,15.6,6,Intel HD Graphics 620,Windows 10,549.0,768,1366,2.5,2.23
Asus,VivoBook S15,15.6,8,Nvidia GeForce 940MX,Windows 10,1049.9,1080,1920,2.7,1.7
HP,Elitebook 820,12.5,8,Intel HD Graphics 620,Windows 10,1335.0,1080,1920,2.7,1.26
Dell,XPS 15,15.6,32,Nvidia GeForce GTX 1050,Windows 10,2639.0,2160,3840,2.8,2.06
MSI,GL72M 7REX,17.3,8,Nvidia GeForce GTX 1050 Ti,Windows 10,1199.0,1080,1920,2.8,2.7
Toshiba,Satellite Pro,15.6,8,Intel HD Graphics 620,Windows 10,943.0,1080,1920,2.5,2.0
Asus,UX510UX-CN269T (i7-7500U/8GB/256GB,14.0,8,Intel HD Graphics 620,Windows 10,1334.0,1080,1920,2.7,2.0
Lenovo,V310-15ISK (i3-6006U/4GB/1TB/FHD/W10),15.6,4,Intel HD Graphics 520,Windows 10,449.0,1080,1920,2.0,1.85
Asus,FX553VD-FY647T (i7-7700HQ/8GB/256GB/GeForce,15.6,8,Nvidia GeForce GTX 1050,Windows 10,999.0,1080,1920,2.8,2.5
HP,EliteBook 840,14.0,8,Intel HD Graphics 620,Windows 10,1268.0,1080,1920,2.6,1.48
Dell,Inspiron 7570,15.6,8,Nvidia GeForce 940MX,Windows 10,1049.0,1080,1920,1.6,1.9
HP,Elitebook 850,15.6,8,Intel HD Graphics 620,Windows 10,1144.0,1080,1920,2.5,1.84
Asus,X541NA (N3350/4GB/1TB/Linux),15.6,4,Intel HD Graphics 500,Linux,274.99,768,1366,1.1,2.0
Dell,Inspiron 7570,15.6,8,Nvidia GeForce 940MX,Windows 10,1142.75,1080,1920,1.6,2.0
Dell,Inspiron 3552,15.6,4,Intel HD Graphics,Linux,274.9,768,1366,1.6,2.2
Lenovo,IdeaPad 320-15ABR,15.6,12,AMD Radeon 530,Windows 10,899.0,1080,1920,3.6,2.2
HP,ProBook 450,15.6,8,Nvidia GeForce 930MX ,Windows 10,716.0,1080,1920,2.4,2.1
Lenovo,Yoga 920-13IKB,13.9,16,Intel UHD Graphics 620,Windows 10,2099.0,2160,3840,1.8,1.4
Dell,XPS 13,13.3,8,Intel UHD Graphics 620,Windows 10,1579.0,1080,1920,1.8,1.2
Lenovo,Legion Y520-15IKBN,15.6,16,Nvidia GeForce GTX 1050 Ti,Windows 10,1129.0,1080,1920,2.8,2.4
HP,Stream 14-AX001nv,14.0,2,Intel HD Graphics 400,Windows 10,279.0,768,1366,1.6,1.44
Dell,Latitude 5590,15.6,16,Intel UHD Graphics 620,Windows 10,1607.96,1080,1920,1.9,1.88
Asus,VivoBook Flip,11.6,4,Intel HD Graphics 500,Windows 10,375.0,768,1366,1.1,1.5
Dell,Inspiron 5570,15.6,8,AMD Radeon 530,Windows 10,663.0,1080,1920,1.6,1.9
Dell,XPS 15,15.6,16,Nvidia GeForce GTX 1050,Windows 10,2027.42,2160,3840,2.8,2.06
HP,Elitebook 850,15.6,8,Intel HD Graphics 620,Windows 10,1304.0,1080,1920,2.7,1.84
MSI,GP72MVR 7RFX,17.3,8,Nvidia GeForce GTX 1060,Windows 10,1409.0,1080,1920,2.8,2.7
HP,Zbook 15,15.6,8,Nvidia Quadro M1200,Windows 10,1738.27,1080,1920,2.8,2.6
Toshiba,Tecra A50-C-21G,15.6,16,Nvidia GeForce 930M,Windows 10,1403.0,1080,1920,2.5,2.4
Dell,Inspiron 5570,15.6,8,AMD Radeon 530,Windows 10,970.9,1080,1920,1.8,2.02
Lenovo,IdeaPad 320-15IAP,15.6,4,Intel HD Graphics 500,No OS,321.99,768,1366,1.1,2.2
Dell,Inspiron 7577,15.6,8,Nvidia GeForce GTX 1050,Windows 10,999.0,1080,1920,2.5,2.65
Dell,Inspiron 3567,15.6,8,Intel HD Graphics 620,Windows 10,557.37,768,1366,2.5,2.36
Dell,Latitude 7480,14.0,8,Intel HD Graphics 620,Windows 10,1427.0,1080,1920,2.6,1.36
HP,250 G6,15.6,4,Intel HD Graphics 520,Windows 10,439.0,768,1366,2.0,1.86
Asus,Zenbook UX410UA-GV027T,14.0,8,Intel HD Graphics 620,Windows 10,945.0,1080,1920,2.5,2.0
Lenovo,IdeaPad 320-17IKB,17.3,6,Nvidia GeForce GTX 940MX,Windows 10,719.0,900,1600,2.5,2.8
HP,250 G6,15.6,8,Intel HD Graphics 620,Windows 10,639.0,1080,1920,2.5,1.86
Lenovo,IdeaPad 320-15ISK,15.6,8,Nvidia GeForce 920MX ,No OS,499.0,768,1366,2.0,2.2
HP,15-AY023na (N3710/8GB/2TB/W10),15.6,8,Intel HD Graphics 405,Windows 10,389.0,768,1366,1.6,2.04
Dell,Inspiron 5770,17.3,8,AMD Radeon 530,Windows 10,1085.0,1080,1920,1.6,2.8
Lenovo,Legion Y520-15IKBN,15.6,8,Nvidia GeForce GTX 1050,No OS,809.0,1080,1920,2.5,2.4
Dell,Inspiron 5567,15.6,8,AMD Radeon R7 M445,Windows 10,899.0,1080,1920,2.7,2.33
HP,Elitebook 1040,14.0,8,Intel HD Graphics 620,Windows 10,1750.0,1080,1920,2.7,1.36
Asus,ZenBook Flip,15.6,12,Nvidia GeForce GT 940MX,Windows 10,1099.0,1080,1920,2.7,2.26
Acer,Aspire 3,15.6,4,AMD Radeon R5,Windows 10,426.0,768,1366,3.0,2.1
Asus,Rog Strix,17.3,16,AMD Radeon RX 580,Windows 10,2199.0,1080,1920,3.0,3.25
Lenovo,IdeaPad 110-17ACL,17.3,4,AMD Radeon R5,Windows 10,489.0,900,1600,2.2,2.6
Dell,Inspiron 5379,13.3,8,Intel UHD Graphics 620,Windows 10,869.01,1080,1920,1.8,1.62
HP,15-bw003nv (A9-Series-9420/4GB/256GB/FHD/W10),15.6,4,AMD Radeon R5,Windows 10,488.99,1080,1920,3.0,1.91
Lenovo,Yoga 11e,11.6,4,Intel HD Graphics 500,Windows 10,553.0,768,1366,1.1,1.59
Dell,Inspiron 3552,15.6,4,Intel HD Graphics 400,Windows 10,309.0,768,1366,1.6,1.8
Asus,VivoBook E403NA,14.0,4,Intel HD Graphics 500,Windows 10,286.0,768,1366,1.1,1.5
Acer,Aspire 7,15.6,8,Nvidia GeForce GTX 1050,Linux,846.0,1080,1920,2.8,2.4
HP,Omen 17-w212nv,17.3,8,Nvidia GeForce GTX 1050,Windows 10,1191.0,1080,1920,2.8,3.35
Lenovo,V310-15ISK (i3-6006U/4GB/128GB/FHD/No,15.6,4,Intel HD Graphics 520,No OS,403.5,1080,1920,2.0,1.85
Asus,ROG Strix,15.6,8,Nvidia GeForce GTX 1060,Windows 10,1655.0,1080,1920,2.8,2.3
Lenovo,IdeaPad 720S-14IKB,14.0,8,Nvidia GeForce 940MX,Windows 10,1099.0,1080,1920,2.5,1.5
Asus,Zenbook Flip,13.3,16,Intel HD Graphics 620,Windows 10,1748.9,1080,1920,2.7,1.1
Lenovo,Thinkpad X1,14.0,8,Intel HD Graphics 620,Windows 10,2282.0,1440,2560,2.7,1.13
Lenovo,Ideapad 510S-13IKB,13.3,4,Intel HD Graphics 620,Windows 10,549.0,1080,1920,2.4,1.5
Dell,Precision 3510,15.6,8,AMD FirePro W5130M,Windows 10,1369.0,1080,1920,2.6,2.23
Dell,Precision 5520,15.6,8,Nvidia Quadro M1200,Windows 10,2135.0,1080,1920,2.7,2.0
Lenovo,ThinkPad X1,14.0,16,Intel HD Graphics 620,Windows 10,2509.0,1440,2560,2.7,1.42
Asus,Rog GL753VD-GC042T,17.3,8,Nvidia GeForce GTX 1050,Windows 10,1039.0,1080,1920,2.8,3.0
Asus,Rog GL753VE-GC070T,17.3,16,Nvidia GeForce GTX 1050 Ti,Windows 10,1591.0,1080,1920,2.8,3.0
Acer,Aspire 5,15.6,12,Nvidia GeForce MX130,Windows 10,693.99,768,1366,1.6,2.2
MSI,Leopard GP72M,17.3,8,Nvidia GeForce GTX 1050 Ti,Windows 10,1349.0,1080,1920,2.8,2.7
Dell,Inspiron 5567,15.6,8,AMD Radeon R7 M445,Linux,778.87,1080,1920,2.7,2.33
HP,15-BW004nv (A9-9420/4GB/256GB/Radeon,15.6,4,AMD Radeon 520,Windows 10,499.0,1080,1920,3.0,1.91
Lenovo,ThinkPad E580,15.6,8,AMD Radeon RX 550,Windows 10,1229.56,1080,1920,1.8,2.1
Lenovo,ThinkPad L470,14.0,8,Intel HD Graphics 620,Windows 10,938.0,1080,1920,2.5,1.9
Dell,Precision M5520,15.6,8,Nvidia Quadro M1200,Windows 10,2712.0,2160,3840,2.8,1.78
Lenovo,Thinkpad X1,14.0,16,Intel HD Graphics 620,Windows 10,2625.0,1440,2560,2.7,1.13
Lenovo,IdeaPad 320-15IAP,15.6,4,Intel HD Graphics 500,Windows 10,306.0,768,1366,1.1,2.2
Asus,FX753VD-GC461T (i7-7700HQ/16GB/1TB,17.3,16,Nvidia GeForce GTX 1050,Windows 10,1529.0,1080,1920,2.8,2.9
Lenovo,ThinkPad E580,15.6,8,AMD Radeon RX 550,Windows 10,1144.5,1080,1920,1.6,2.1
Acer,Aspire 7,15.6,8,Nvidia GeForce GTX 1050,Linux,879.0,1080,1920,2.8,2.5
MSI,GE73VR 7RF,17.3,16,Nvidia GeForce GTX 1070,Windows 10,2249.0,1080,1920,2.8,2.8
Asus,Zenbook 3,14.0,8,Intel HD Graphics 620,Windows 10,1873.0,1080,1920,2.7,1.1
Toshiba,Portege Z30-C-16P,13.3,16,Intel HD Graphics 520,Windows 10,1747.0,1080,1920,2.5,1.2
Dell,Latitude 7480,14.0,8,Intel HD Graphics,Windows 10,1680.0,1080,1920,2.8,1.36
Lenovo,IdeaPad 320-15ISK,15.6,4,Intel HD Graphics 520,Windows 10,409.0,1080,1920,2.0,2.2
Lenovo,Lenovo IdeaPad,11.6,2,Intel HD Graphics 500,Windows 10,304.45,768,1366,1.1,1.15
Lenovo,ThinkPad P51,15.6,8,Nvidia Quadro M1200,Windows 10,1925.0,1080,1920,2.8,2.67
Lenovo,Thinkpad T470p,14.0,8,Nvidia GeForce GT 940MX,Windows 10,1943.0,1440,2560,2.8,1.7
HP,15-BS028nv (i3-6006U/4GB/1TB/Radeon,15.6,4,AMD Radeon 520,Windows 10,469.0,1080,1920,2.0,2.1
Acer,Aspire R7,13.3,8,Intel HD Graphics 520,Windows 10,789.01,1080,1920,2.5,1.6
Asus,ZenBook Flip,13.3,8,Intel HD Graphics 620,Windows 10,928.0,1080,1920,2.5,1.27
Dell,Inspiron 3567,15.6,4,AMD Radeon R5 M430,Linux,598.9,1080,1920,2.5,2.3
Dell,Latitude 3380,13.3,4,Intel HD Graphics 520,Windows 10,689.0,768,1366,2.0,1.65
HP,EliteBook 1040,14.0,8,Intel HD Graphics 520,Windows 10,1500.0,1080,1920,2.5,1.43
Dell,Inspiron 3567,15.6,8,Intel HD Graphics 620,Windows 10,539.95,768,1366,2.5,2.14
Lenovo,ThinkPad E480,14.0,8,AMD Radeon RX 550,Windows 10,1215.38,1080,1920,1.8,1.75
Lenovo,Yoga 720-15IKB,15.6,16,Nvidia GeForce GTX 1050,Windows 10,1899.0,2160,3840,2.8,2.0
Chuwi,LapBook 12.3,12.3,6,Intel HD Graphics 500,Windows 10,449.0,1824,2736,1.1,1.4
HP,ProBook 650,15.6,8,Intel HD Graphics 630,Windows 10,1427.0,1080,1920,2.9,2.31
Asus,X542UQ-DM117 (i3-7100U/8GB/1TB/GeForce,15.6,8,Nvidia GeForce 940MX,Linux,597.0,1080,1920,2.4,2.3
Dell,Alienware 17,17.3,16,Nvidia GeForce GTX 1070,Windows 10,2799.0,1440,2560,2.9,4.42
Dell,Inspiron 7577,15.6,8,Nvidia GeForce GTX 1050 Ti,Windows 10,1159.0,1080,1920,2.8,2.62
Dell,Inspiron 5570,15.6,8,AMD Radeon 530,Windows 10,1142.4,1080,1920,1.8,2.02
Dell,Latitude 5480,14.0,8,Intel HD Graphics 620,Linux,1099.0,1080,1920,2.8,1.6
HP,Omen 17-w207nv,17.3,12,Nvidia GeForce GTX 1070,Windows 10,1999.0,1080,1920,2.8,3.35
Mediacom,FlexBook Edge,11.6,4,Intel HD Graphics 500,Windows 10,299.0,1080,1920,1.1,1.16
Samsung,Chromebook 3,11.6,4,Intel HD Graphics 400,Chrome OS,269.0,768,1366,1.6,1.15
Lenovo,Thinkpad 13,13.3,8,Intel HD Graphics 620,Windows 10,1010.0,1080,1920,2.7,1.4
Lenovo,IdeaPad 320s-14IKB,14.0,4,Intel HD Graphics 620,Windows 10,599.0,1080,1920,2.7,1.7
Lenovo,Thinkpad T570,15.6,16,Nvidia GeForce 940MX,Windows 10,2445.0,2160,3840,2.8,2.3
Lenovo,Thinkpad P51,15.6,16,Nvidia Quadro M2200M,Windows 10,2449.0,1080,1920,2.9,2.5
Asus,Rog Strix,17.3,8,AMD Radeon RX 580,Windows 10,1695.0,1080,1920,3.2,3.2
HP,15-ra044nv (N3060/4GB/500GB/W10),15.6,4,Intel HD Graphics 400,Windows 10,347.0,768,1366,1.6,2.1
Google,Pixelbook (Core,12.3,16,Intel HD Graphics 615,Chrome OS,2199.0,1600,2400,1.3,1.1
Lenovo,ThinkPad T470s,14.0,24,Intel HD Graphics 620,Windows 10,2382.0,1440,2560,2.7,1.32
Asus,VivoBook Max,15.6,4,Intel HD Graphics 620,Linux,559.0,1080,1920,2.5,2.0
Lenovo,IdeaPad 320-15AST,17.3,8,AMD Radeon R4,Windows 10,519.0,900,1600,2.5,2.8
Dell,Inspiron 5570,15.6,4,AMD Radeon 530,Windows 10,749.0,1080,1920,1.6,2.2
Lenovo,ThinkPad X270,12.5,8,Intel HD Graphics 620,Windows 10,1429.0,1080,1920,2.5,1.36
Lenovo,IdeaPad 320-15IAP,15.6,4,Intel HD Graphics 505,Windows 10,349.0,1080,1920,1.1,2.2
HP,Omen 15-AX205na,15.6,8,Nvidia GeForce GTX 1050,Windows 10,1099.0,1080,1920,2.8,2.2
Dell,Latitude 5480,14.0,8,Nvidia GeForce 930MX,Windows 10,1179.0,1080,1920,2.8,1.64
Acer,Aspire ES1-572,15.6,4,Intel HD Graphics 620,Linux,441.8,768,1366,2.5,2.4
Dell,Precision 3520,15.6,8,Nvidia Quadro M620,Windows 10,1993.0,1080,1920,3.0,2.23
MSI,GV62 7RD-1686NL,15.6,8,Nvidia GeForce GTX 1050,Windows 10,1027.74,1080,1920,2.5,2.2
Microsoft,Surface Laptop,13.5,16,Intel Iris Plus Graphics 640,Windows 10 S,2589.0,1504,2256,2.5,1.25
HP,15-bs024nv (i5-7200U/8GB/128GB/W10),15.6,8,Intel HD Graphics 620,Windows 10,589.0,768,1366,2.5,1.91
Dell,Precision 3520,15.6,16,Nvidia Quadro M620,Windows 10,1975.0,1080,1920,2.7,2.17
HP,ProBook 650,15.6,8,Intel HD Graphics 620,Windows 10,1534.0,1080,1920,2.9,2.31
Lenovo,ThinkPad T470,14.0,8,Intel HD Graphics 620,Windows 10,1345.0,1080,1920,2.5,1.65
Dell,Inspiron 5570,15.6,8,AMD Radeon 530,Windows 10,979.0,1080,1920,1.8,2.36
Dell,Inspiron 3168,11.6,4,Intel HD Graphics 405,Windows 10,479.0,768,1366,1.6,1.47
Dell,Alienware 17,17.3,8,Nvidia GeForce GTX 1060,Windows 10,2046.0,1080,1920,2.7,4.42
Microsoft,Surface Laptop,13.5,4,Intel HD Graphics 615,Windows 10 S,989.0,1504,2256,2.2,1.252
Microsoft,Surface Laptop,13.5,8,Intel Iris Plus Graphics 640,Windows 10 S,1799.0,1504,2256,2.5,1.25
HP,17-BS092ND (i3-6006U/8GB/256GB/W10),17.3,8,Intel HD Graphics 520,Windows 10,639.9,900,1600,2.0,2.5
Acer,Aspire E5-576G,15.6,4,Nvidia GeForce 940MX,Windows 10,544.0,1080,1920,2.0,2.23
Acer,TravelMate B,11.6,4,Intel HD Graphics 400,Windows 10,435.0,768,1366,1.6,1.4
Asus,Pro P2540UA-AB51,15.6,8,Intel HD Graphics 620,Windows 10,749.0,1080,1920,2.5,2.37
Lenovo,IdeaPad 510s-14IKB,14.0,8,AMD Radeon R7 M460,No OS,799.0,1080,1920,2.7,1.5
Lenovo,Thinkpad P51,15.6,8,Nvidia Quadro M2200M,Windows 10,2090.0,1080,1920,2.9,2.67
Asus,X541NA-PD1003Y (N4200/4GB/500GB/W10),15.6,4,Intel HD Graphics 500,Windows 10,304.0,768,1366,1.1,2.0
Acer,Aspire 5,15.6,4,Nvidia GeForce GTX 940MX,Windows 10,469.0,768,1366,2.0,2.2
Dell,Inspiron 5570,15.6,8,AMD Radeon 530,Windows 10,759.0,1080,1920,1.6,2.02
HP,Omen 17-an006nv,17.3,12,Nvidia GeForce GTX 1060,Windows 10,1699.0,1080,1920,2.8,3.78
Lenovo,Thinkpad T460s,14.0,12,Intel HD Graphics 520,Windows 10,1858.0,1440,2560,2.6,1.4
